UNESCO_Site;Damaged_Site_Nearby;Event_Date;ACLED_Event_Type;Dist_UNESCO_to_Damage_m;Geo_Precision;ACLED_Notes
The Historic Centre of Odesa;Odesa Stolyarsky State Music Lyceum;2023-07-23;Shelling/artillery/missile attack;380.7;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;Odesa Stolyarsky State Music Lyceum;2023-07-23;Shelling/artillery/missile attack;380.7;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;Odesa Stolyarsky State Music Lyceum;2023-07-23;Shelling/artillery/missile attack;380.7;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;Odesa Stolyarsky State Music Lyceum;2023-07-23;Shelling/artillery/missile attack;380.7;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;Building of Passage and hotel “passage” (architectural monument of local importance) – Odesa;2023-07-23;Shelling/artillery/missile attack;627.6;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;Building of Passage and hotel “passage” (architectural monument of local importance) – Odesa;2023-07-23;Shelling/artillery/missile attack;627.6;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;Building of Passage and hotel “passage” (architectural monument of local importance) – Odesa;2023-07-23;Shelling/artillery/missile attack;627.6;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;Building of Passage and hotel “passage” (architectural monument of local importance) – Odesa;2023-07-23;Shelling/artillery/missile attack;627.6;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;Museum of Western and Oriental Art;2023-07-20;Air/drone strike;298.7;1;On 20 July 2023, Russian land forces, navy and kamikaze drones struck an administrative building, House of the Archaeological Museum, the Literature Museum, as well as a kindergarten in Odesa, Odesa. Kalibr-type cruise missile was used during the attack on the historic center of the city. According to Ukrainian forces, the strike involved 38 missiles and unmanned aerial vehicles, 18 of which were destroyed. 1 civilian was killed, 8 civilians were wounded, among them 3 employees of the State emergency service of Ukraine.
The Historic Centre of Odesa;Museum of Western and Oriental Art;2023-07-20;Air/drone strike;298.7;1;On 20 July 2023, Russian land forces, navy and kamikaze drones struck an administrative building, House of the Archaeological Museum, the Literature Museum, as well as a kindergarten in Odesa, Odesa. Kalibr-type cruise missile was used during the attack on the historic center of the city. According to Ukrainian forces, the strike involved 38 missiles and unmanned aerial vehicles, 18 of which were destroyed. 1 civilian was killed, 8 civilians were wounded, among them 3 employees of the State emergency service of Ukraine.
The Historic Centre of Odesa;Museum of Western and Oriental Art;2023-07-20;Air/drone strike;298.7;1;On 20 July 2023, Russian land forces, navy and kamikaze drones struck an administrative building, House of the Archaeological Museum, the Literature Museum, as well as a kindergarten in Odesa, Odesa. Kalibr-type cruise missile was used during the attack on the historic center of the city. According to Ukrainian forces, the strike involved 38 missiles and unmanned aerial vehicles, 18 of which were destroyed. 1 civilian was killed, 8 civilians were wounded, among them 3 employees of the State emergency service of Ukraine.
The Historic Centre of Odesa;Museum of Western and Oriental Art;2023-07-20;Air/drone strike;298.7;1;On 20 July 2023, Russian land forces, navy and kamikaze drones struck an administrative building, House of the Archaeological Museum, the Literature Museum, as well as a kindergarten in Odesa, Odesa. Kalibr-type cruise missile was used during the attack on the historic center of the city. According to Ukrainian forces, the strike involved 38 missiles and unmanned aerial vehicles, 18 of which were destroyed. 1 civilian was killed, 8 civilians were wounded, among them 3 employees of the State emergency service of Ukraine.
The Historic Centre of Odesa;"The ensemble of the Brzozowski (""Shah"") Palace, including the palace, services, and private residence, 1851-1852 (architectural monument of local importance) – Odesa";2023-07-23;Shelling/artillery/missile attack;795.6;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;"The ensemble of the Brzozowski (""Shah"") Palace, including the palace, services, and private residence, 1851-1852 (architectural monument of local importance) – Odesa";2023-07-23;Shelling/artillery/missile attack;795.6;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;"The ensemble of the Brzozowski (""Shah"") Palace, including the palace, services, and private residence, 1851-1852 (architectural monument of local importance) – Odesa";2023-07-23;Shelling/artillery/missile attack;795.6;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;"The ensemble of the Brzozowski (""Shah"") Palace, including the palace, services, and private residence, 1851-1852 (architectural monument of local importance) – Odesa";2023-07-23;Shelling/artillery/missile attack;795.6;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;"The ensemble of the Brzozowski (""Shah"") Palace, including the palace, services, and private residence, 1851-1852 (architectural monument of local importance)";2023-07-23;Shelling/artillery/missile attack;795.2;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;"The ensemble of the Brzozowski (""Shah"") Palace, including the palace, services, and private residence, 1851-1852 (architectural monument of local importance)";2023-07-23;Shelling/artillery/missile attack;795.2;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;"The ensemble of the Brzozowski (""Shah"") Palace, including the palace, services, and private residence, 1851-1852 (architectural monument of local importance)";2023-07-23;Shelling/artillery/missile attack;795.2;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
The Historic Centre of Odesa;"The ensemble of the Brzozowski (""Shah"") Palace, including the palace, services, and private residence, 1851-1852 (architectural monument of local importance)";2023-07-23;Shelling/artillery/missile attack;795.2;1;On 23 July 2023, Russian forces launched 19 missiles (5 'Onyx', 3 'X-22', 4 'Kalibr', 5 'Iskander-M' and 2 ballistic 'Iskander-M') by submarines and aircrafts at Odesa. Ukrainian air forces shot down 9 Russian missiles (4 'Kalibr' and 5 'Iskander-K'. 11 educational buildings and an Orthodox church of the Moscow Patriarchate were damaged. 1 civilian was killed and 22 civilians were injured.
